"Ort","Hip","Gly","Val","Name"
"3.450751","0.503707","3.450751","0.039752","1"
"3.101136","0.298618","3.101136","0.043566","1"
"3.287557","1.585503","3.287557","0.047762","1"
"0.560943","0.384216","0.560943","0.019574","1"
"0.946996","0.601827","0.946996","0.019937","1"
"4.168658","0.876611","4.168658","0.063098","1"
"2.526954","0.28722","2.526954","0.04264","1"
"0.575864","0.52026","2.187634","0.056503","2"
"0.219731","0.567896","1.784916","0.079872","2"
"1.215133","1.608328","2.513256","0.080144","2"
"0.164416","0.501079","3.134082","0.074136","2"
"1.031148","1.031869","1.33911","0.051001","2"
"0.884195","1.007669","1.80063","0.086741","2"
"0.013456","2.701131","3.132745","0.096025","2"
"0.67288","0.589069","1.717996","0.050923","2"
"0.01835","1.16732","1.372015","0.053804","2"
"0.012112","0.878346","1.155155","0.056203","2"
"0.529951","0.375049","1.851993","0.06021","2"
"0.047427","0.491585","2.71679","0.066287","2"
"0.019676","0.585644","0.78676","0.03449","2"
"0.005971","0.458032","1.204653","0.043635","2"
"0.009112","0.460623","0.442663","0.024082","3"
"0.006241","0.633201","0.327813","0.026016","3"
"0.043776","0.437962","0.284111","0.022463","3"
"0.031527","0.659096","0.345075","0.029545","3"
"0.00392","0.349337","0.260327","0.019021","3"
"0.008076","0.281865","0.324124","0.022851","3"
"0.074274","0.520587","0.640732","0.041072","3"
"0.07659","0.805996","0.754876","0.035731","3"
"0.308885","1.475238","0.638078","0.044081","3"
"0.193572","1.237492","0.776261","0.02642","3"
"0.045777","0.685554","0.58618","0.033991","3"
"0.060174","0.260018","0.275615","0.01603","3"
"0.088896","0.800442","0.518569","0.031977","3"
"0.004997","1.133916","0.472241","0.024929","3"
"0.0067","1.44817","0.34452","0.023897","3"
"0.042752","1.948634","0.270788","0.026509","3"
"0.035446","1.879384","0.649013","0.03938","3"
"0.015359","1.871802","0.514413","0.036366","3"
"0.003337","0.708371","0.677959","0.024428","3"
"0.00336","0.728217","0.758792","0.034299","3"
"0.10207","2.747406","1.224378","0.034493","4"
"1.325452","4.548982","1.635736","0.041938","4"
"0.422961","1.40845","2.075124","0.029076","4"
"0.304298","0.69063","1.161815","0.035718","4"
"0.138515","0.783489","1.21464","0.037656","4"
"1.601354","1.084403","1.336237","0.055852","4"
"0.744228","0.361384","1.173541","0.027516","4"
"0.357082","2.141565","1.490462","0.060792","4"
"1.318148","2.135241","0.424384","0.020609","4"
"0.638727","3.015414","0.677326","0.029062","4"
"0.722591","2.342985","1.241083","0.029907","4"
"2.259327","2.192587","1.467322","0.049743","4"
"0.127706","1.607539","1.59301","0.056885","4"
"0.207229","1.236165","1.636502","0.063765","4"
"1.796879","2.591462","1.358599","0.070111","4"
"1.614812","1.607642","2.921718","0.073526","4"
"0.33715","1.525241","1.576662","0.060511","4"
"0.029737","0.789976","1.017382","0.027821","4"
"0.134785","0.261023","0.460086","0.010253","4"
"0.954124","0.511531","0.859464","0.028313","4"
"1.063548","0.835487","1.018042","0.035471","4"
"0.834751","2.833829","1.018042","0.035471","4"
"0.21362","3.19484","0.743657","0.036182","4"
"0.437736","5.221026","1.072812","0.044963","4"
"0.48693","2.854753","1.176459","0.028708","4"
"0.00667","0.867401","1.212472","0.022217","1"
"1.421697","0.496724","1.817929","0.046394","1"
"0.047835","0.124126","1.537916","0.028603","1"
"0.245933","0.126603","0.705169","0.018585","1"
"2.085224","0.322713","2.347897","0.036672","1"
"0.009454","0.845543","1.934229","0.064365","1"
"0.007898","0.514502","1.205428","0.041233","1"
"0.005833","0.676871","0.671078","0.026722","1"
"0.015905","0.359415","3.61842","0.06312","1"
"0.007042","1.156919","1.268286","0.031256","1"
"0.873793","1.507272","3.408651","0.081778","1"
"0.71195","0.588554","1.830597","0.051448","2"
"1.146346","0.434522","1.546324","0.038898","2"
"0.047886","0.263007","0.804541","0.024581","2"
"0.564283","0.409651","1.33535","0.039808","2"
"0.016847","0.363666","1.237733","0.035442","2"
"0.349127","0.356927","0.5959","0.022702","2"
"0.862107","0.805461","1.016762","0.039734","2"
"0.16038","0.942596","1.396082","0.057212","2"
"1.263007","0.940678","1.282424","0.047729","2"
"0.045971","0.654668","1.742896","0.050923","2"
"0.008694","0.807733","0.361016","0.035004","3"
"0.188637","0.42429","0.253419","0.020017","3"
"0.184704","0.456218","0.195776","0.018043","3"
"0.024815","1.024399","0.285544","0.028972","3"
"0.18996","1.23361","0.324055","0.02831","3"
"0.125549","1.020699","0.549799","0.043467","3"
"0.008936","0.466967","0.235948","0.016206","3"
"0.005965","0.728891","0.385464","0.033899","3"
"0.004248","0.802922","0.405213","0.028174","3"
"0.004632","0.692553","0.254413","0.026706","3"
"0.002629","1.276606","0.302479","0.030978","3"
"0.011228","0.974209","0.406383","0.023626","3"
"0.755278","0.469996","1.219109","0.029197","4"
"2.296896","0.653761","1.38243","0.051814","4"
"3.370178","3.439796","1.443201","0.037301","4"
"0.325953","3.057781","1.156078","0.030857","4"
"0.302254","2.284257","1.323375","0.046873","4"
"0.444476","1.031614","0.884222","0.026254","4"
"0.819055","0.746211","0.820627","0.024479","4"
"0.22006","2.24715","1.172798","0.032941","4"
"1.001142","1.919509","2.06061","0.048309","4"
"0.063495","0.543006","0.645132","0.02703","4"
"0.007283","0.086923","0.124878","0.007867","4"
"0.006524","0.359838","0.335409","0.021773","4"
"2.081463","1.88466","0.887515","0.051391","4"
"0.590203","1.925811","1.230641","0.035566","4"
"0.404345","3.76605","1.572853","0.040659","4"
"0.898666","1.43735","1.921469","0.039385","4"
"0.885353","0.850538","1.253374","0.047128","4"
